Id,Type,Text,AudioFile,DependsOn,Freq,Location,Time
001_news,Radio,"NEWS REPORTER|It's gonna be a sad Memorial Day weekend in Westbrook this year, Tom! We've got reports from local farms that there have been extreme amounts of produce loss this year. Farmer Jim has stated his crops seem to be taken at night between the hours of 8:45 and midnight. In a few weeks, there may be no corn left for anyone's cookouts! A real tragedy to say the least. Now, back to Tom in the studio.;BRANDON|Seem's odd. Maybe we should look into that. Let's head to the farm.",,,100.3,,GE7:15
002_map,Map,"RADIO KATIE|Alright, I'm here Brandon.;BRANDON|Do you see anything?;RADIO KATIE|I see some of Farmer Jim's crops, but It looks kinda like the corn has been cut, not eaten.;BRANDON|That's weird... who would steal Farmer Jim's corn?;RADIO KATIE|Wait, I think I just heard something.Should I go check it out?;BRANDON|Yes, but be careful.;RADIO KATIE|It looks like... pawprints? Hey! They look like Sunny's size!;BRANDON|Really! Where do they lead?;RADIO KATIE|Away from the field. I started following them but they just vanish!;BRANDON|Sunny can't have just disappeared!;RADIO KATIE|I know but that's what it looks like. There's more though Brandon. With Sunny's paw prints there's some sort of 3 toed creature walking beside him.;BRANDON|That's weird. Alright, come on back to the treehouse.",,001_news,,"e,5",GE1:00
022_map,Map,"BRANDON|I don't think there's anythine else we can do today. Let's end the day and check the news in the morning.",,002_map,,"d,4",GE1:00
003_news,Radio,"NEWS REPORTER|Good Morning Westbrook! Clear skies and low humidity means it's another lovely day for the Westbrook Annual Fair! So grab your family and join us in the town square for the festivities at noon!;KATIE|Can we please go? I really want a funnel cake!;BRANDON|Fine... you can go. I'll hold down the fort, but take your walkie talkie and camera with you!;KATIE|Anything to get me some of that powdered sugary goodness!",,001_news,100.3,,GE7:00|LE10:00
004_map,Map,"Brandon|Katie, do you copy?;Radio Katie|Mm, yes! This funnel cake is delicious!;Brandon|Can you focus, please!;Radio Katie|Alright, alright! I don't see anything weird yet. Except for maybe that really short guy in a trenchcoat? Is his skin green?;Brandon|Katie... that's suspicious! What is he doing?;Radio Katie|Uh, it looks like he's throwing something away? Like a scrap of paper, I think?;Brandon|Can you follow them?;Radio Katie|No... I'm losing him in the crowd! What should I do?;Brandon|Can you check the trash can and see if you can find what he threw away?;Radio Katie|I think so, one sec.;Radio Katie|I've got it! Looks like a code of some sort? It says ""Much timber masks the light of day, be there when the clock strikes grey."";Brandon|Ugh, this is so frustrating! What is that supposed to mean?;Radio Katie|Would it help if I brought you back a corn dog?;Brandon|Yes, yes it would.",,002_map|003_news,,"b,2",GE12:00
005_song,Radio,"Katie|This song is so weird.;Singer|My day is grey... when you are away. Don't waste my time, but baby stay past nine.;Brandon|Wait a minute, the note!;Katie|What about it?;Brandon|Don't you see? The note said, ""be there when the clock strikes grey!"" In this song, the singer says grey and the time 9 o'clock!;Katie|But what about the location? Where does ""much timber mask the light of day?""",,,97.5,,GE16:00
006_map,Map,"Radio Katie|I don't see anything Brandon. I think we're too late.;Brandon|We can't be! Something has to be there!;Radio Katie|Wait, I think I see something! It looks like someone carved some numbers in a tree here?;Brandon|What's it say?;Radio Katie|4.99? Seems too small to be a radio frequency though.;Brandon|I'll write that down. Come on back to the treehouse and we'll figure it out.",,004_map,,"g,7",GE21:00|LE22:00
007_radio,Radio,"Brandon|Rember that number you found on the tree sis?;Katie|Yeah, 4.99? Did you figure it out?;Brandon|I think so! If you reverse it you get 99.4 which is a working radio frequency! Listen!;Advertisement|Come on down to Moe's Junkyard at the corner of Sycamore and Pine St. We've got all the scrap metal you could want! Our guard dogs keep it nice and safe from any unwanted guests! We hope to see you soon! Our hours are 9 am - 4 pm!;Katie|That sounds like it! Maybe we should go by after-hours though, I don't want any salesman getting in the way of our investigation.;Brandon|What are you gonna do about the guard dogs though?;Katie|Leave that to me!",,006_map,99.4,,GE12:00
008_map,Map,"Radio Katie|Here puppy, puppy, puppies...;Brandon|What are you doing?;Radio Katie|I brought some meat from the freezer with me! I'm sure the dogs won't be too angry once they get a nice juicy steak!;Brandon|Whatever you say.;Radio Katie|Uh, Brandon? I think I found some more of those three-toed footprints. This time it looks like a whole pack of dogs are with them!;Brandon|Can you follow them again?;Radio Katie|No, they disappear just like last time. But there's some markings at the end of the trail in the dirt! It says 103.0 - 10.30;Brandon|Great another secret. I think that's all we needed, you can come on back, Katie.",,007_radio,,"a,8",GE16:00|LE24:00
009_radio,Radio,"Podcast host|Thanks for tunning in my faithful listeners and welcome back to Westbrook: Truth Unveiled. As always, I'm your host, Frank Jenkinson.;Brandon|I've got something!;Podcast host|I apologize for the podcast time, this is the only hole I can find when the government turns lets their guard down and I can break through their walls.;Katie|Oh boy.;Podcast host|Now for those new listeners out there, welcome. This show is all about getting to the bottom of all the abnormalities the foolish folks of Westbrook refuse to accept! But not us listeners, not us!;Brandon|Ok I admit, he's a bit crazy, but he may still know something important!;Katie|Really Brandon? Just a bit crazy?;Brandon|Shhhh! He's talking!;Podcast host|Today, we continue with the topic of aliens.;Brandon and Katie|Aliens?;Podcast host|That's right, aliens! As I'm sure many of you intelligent folk have noticed, there have been some weird occurrences going on around town. Corn crops being cut down in the dead of night, weird figures at the town fair, and many canine companions disappearing.;Podcast host|I'm a little too old myself to be chasing down these things so that's why I'm leaving it up to kids. If you're interested in having access to my wealth of knowledge, come to my home and we'll discuss things. I'll have to disguise my location as I don't want the government finding me... again. So here's the clue ""Formula 1 is my favorite sport!"" Meet me there at 7:30 am on the dot! No earlier, no later, or else I'll know you aren't to be trusted! That's all I can say for now dear listeners. So remember, keep your eyes open...;Brandon|What could he mean by Formula 1 is his favorite sport?;Katie|I don't know but I know for a fact I am not looking forward to meeting this crazy guy once we figure it out.",,008_map,103,,GE22:30|LE23:30
